Country,UN Region,IMF_Estimate,Year,WB_Estimate,Year,CIA_Estimate,Year
Ireland,Europe,145196,2023,126905,2022,102500,2021
Luxembourg,Europe,142490,2023,142214,2022,115700,2021
Liechtenstein,Europe,—,—,—,—,139100,2009
Singapore,Asia,133895,2023,127565,2022,106000,2021
Qatar,Asia,124834,2023,114648,2022,92200,2021
Monaco,Europe,—,—,—,—,115700,2015
Macau,Asia,89558,2023,55344,2022,64800,2021
United Arab Emirates,Asia,88221,2023,87729,2022,69700,2021
Bermuda,Americas,—,—,95837,2022,80300,2021
Switzerland,Europe,87963,2023,83598,2022,71000,2021
Isle of Man,Europe,—,—,—,—,84600,2014
Norway,Europe,82655,2023,114899,2022,65700,2021
United States,Americas,80035,2023,76399,2022,63700,2021
San Marino,Europe,78926,2023,59451,2020,56400,2020
Brunei,Asia,75583,2023,69275,2022,60100,2021
Hong Kong,Asia,74598,2023,69049,2022,60000,2021
Cayman Islands,Americas,—,—,74155,2021,67500,2021
Denmark,Europe,73386,2023,74005,2022,58000,2021
Taiwan,Asia,73344,2023,—,—,50500,2017
Netherlands,Europe,72973,2023,69577,2022,56600,2021
Falkland Islands,Americas,—,—,—,—,70800,2015
Iceland,Europe,69779,2023,69081,2022,53600,2020
Austria,Europe,69502,2023,67936,2022,54100,2021
Andorra,Europe,68998,2023,—,—,49900,2015
Germany,Europe,66132,2023,63150,2022,53100,2021
Sweden,Europe,65842,2023,64578,2022,53600,2021
Belgium,Europe,65501,2023,65027,2022,51700,2021
Australia,Oceania,65366,2023,62625,2022,49800,2021
Saudi Arabia,Asia,64836,2023,59065,2022,44300,2021
Malta,Europe,61939,2023,55928,2022,44700,2021
Gibraltar,Europe,—,—,—,—,61700,2014
Finland,Europe,60897,2023,59027,2022,48800,2021
Guyana,Americas,60648,2023,40642,2022,21900,2021
Bahrain,Asia,60596,2023,61228,2022,49400,2021
Canada,Americas,60177,2023,58400,2022,47900,2021
France,Europe,58828,2023,55493,2022,45000,2021
European Union,Europe,56929,2023,54249,2022,44436,2019
South Korea,Asia,56706,2023,50070,2022,44200,2021
Jersey,Europe,—,—,—,—,56600,2016
United Kingdom,Europe,56471,2023,54603,2022,45000,2021
Israel,Asia,54997,2023,49509,2022,42100,2021
Cyprus,Asia,54611,[n 2]2023,49931,[n 2]2022,41700,[n 2]2021
Italy,Europe,54216,2023,51865,2022,41900,2021
New Zealand,Oceania,54046,2023,51967,2022,42900,2021
Kuwait,Asia,53037,2023,58056,2022,43900,2020
Slovenia,Europe,52641,2023,50032,2022,40000,2021
Guernsey,Europe,—,—,—,—,52500,2014
Japan,Asia,51809,2023,45573,2022,40800,2021
Czech Republic,Europe,50961,2023,49946,2022,40700,2020
Aruba,Americas,49627,2023,42698,2021,38900,2021
Spain,Europe,49448,2023,45825,2022,37900,2021
Lithuania,Europe,49266,2023,48397,2022,39300,2021
Estonia,Europe,46385,2023,46697,2022,38700,2021
Saint Pierre and Miquelon,Americas,—,—,—,—,46200,2006
Poland,Europe,45343,2023,43269,2022,34900,2021
Portugal,Europe,44707,2023,41452,2022,33700,2021
Bahamas,Americas,43913,2023,40379,2022,30200,2021
Hungary,Europe,43907,2023,41907,2022,33600,2021
Puerto Rico,Americas,43845,2023,40498,2022,32600,2021
Croatia,Europe,42531,2023,40380,2022,31600,2021
Oman,Asia,42188,2023,41724,2022,34300,2021
Greenland,Americas,—,—,—,—,41800,2015
Romania,Europe,41634,2023,41888,2022,30800,2021
Slovakia,Europe,41515,2023,37459,2022,31900,2021
Turkey,Asia,41412,2023,37274,2022,31500,2021
Latvia,Europe,40256,2023,39956,2022,32100,2021
Panama,Americas,40177,2023,39280,2022,29000,2021
Faroe Islands,Europe,—,—,—,—,40000,2014
Seychelles,Africa,39662,2023,35228,2022,28800,2021
Greece,Europe,39478,2023,36835,2022,29500,2021
U.S. Virgin Islands,Americas,—,—,—,—,37000,2016
Malaysia,Asia,36847,2023,33434,2022,26300,2021
Maldives,Asia,36358,2023,24772,2022,18800,2021
Sint Maarten (Dutch part),Americas,—,—,41812,2022,35300,2018
Guam,Oceania,—,—,—,—,35600,2016
Russia,Europe,34837,2023,36485,2022,28000,2021
British Virgin Islands,Americas,—,—,—,—,34200,2017
Montserrat,Americas,—,—,—,—,34000,2011
Kazakhstan,Asia,32688,2023,30810,2022,26100,2021
Trinidad and Tobago,Americas,32054,2023,27778,2022,23000,2021
Bulgaria,Europe,32006,2023,33582,2022,24400,2020
New Caledonia,Oceania,—,—,—,—,31100,2015
Saint Kitts and Nevis,Americas,29662,2023,34052,2022,26500,2021
Chile,Americas,29613,2023,30209,2022,25400,2021
