Country,Household estimate (tonnes/year),Retail estimate (tonnes/year),Food service estimate (tonnes/year),Region,UN Region,GDP_PC,Population (2023)
Malaysia,2921577,2518199,2861537,South-eastern Asia,Asia,36847,34308525
Sint Maarten,5943,1030,2056,Latin America and the Caribbean,Americas,28988,42846
Nigeria,37941470,3143117,5556257,Sub-Saharan Africa,Africa,6178,223804632
Lebanon,717491,107225,189547,Western Asia,Asia,11377,5353930
Bahrain,216161,21026,41966,Western Asia,Asia,60596,1485509
Rwanda,2075405,197489,349112,Sub-Saharan Africa,Africa,3090,14094683
Greece,1483996,77332,267812,Southern Europe,Europe,39478,10341277
Marshall Islands,4452,920,1626,Oceania,Oceania,4669,41996
Israel,848395,437997,233752,Western Asia,Asia,54997,9174520
Georgia,403573,62511,110504,Western Asia,Asia,21922,3728282
South Sudan,1136015,173014,305846,Sub-Saharan Africa,Africa,516,11088796
Armenia,275195,46259,81775,Western Asia,Asia,19489,2777970
Ukraine,3344904,688070,1216338,Eastern Europe,Europe,13901,36744634
Comoros,84742,13308,23526,Sub-Saharan Africa,Africa,3463,852075
Oman,470297,63736,127213,Western Asia,Asia,42188,4644384
Iraq,4734434,614814,1086840,Western Asia,Asia,12927,45504560
Republic of Moldova,307419,63238,111789,Eastern Europe,Europe,16840,3435931
Tanzania,6907649,907219,1603740,Sub-Saharan Africa,Africa,3600,67438106
Saudi Arabia,3594080,673502,876260,Western Asia,Asia,64836,36947025
Qatar,267724,36283,72418,Western Asia,Asia,124834,2716391
Malta,56812,5642,11261,Southern Europe,Europe,61939,535064
United Arab Emirates,923625,125173,249836,Western Asia,Asia,88221,9516871
Mexico,11979364,1995310,3527217,Latin America and the Caribbean,Americas,23820,128455567
Eritrea,359132,54695,96688,Sub-Saharan Africa,Africa,2188,3748901
France,5522358,1667568,1594579,Western Europe,Europe,58828,64756584
Eswatini,114341,17957,31743,Sub-Saharan Africa,Africa,11492,1210822
Kenya,5217367,576411,1637020,Sub-Saharan Africa,Africa,6569,55100586
Northern Mariana Islands,4501,733,1463,Oceania,Oceania,24500,49796
United States of America,19359951,5151313,20934827,Northern America,Americas,80035,339996563
Palestine,501602,77910,137726,Western Asia,Asia,6688,5371230
Liberia,507043,77222,136510,Sub-Saharan Africa,Africa,1788,5418377
Uganda,4546237,692387,1223969,Sub-Saharan Africa,Africa,3224,48582334
Mauritania,450720,70783,125127,Sub-Saharan Africa,Africa,7437,4862989
Sao Tome and Principe,21422,3364,5947,Sub-Saharan Africa,Africa,4874,231856
Turkey,7762575,1304858,2306668,Western Asia,Asia,41412,85816199
Azerbaijan,934872,157148,277800,Western Asia,Asia,18669,10412651
Guinea,1311530,199744,353099,Sub-Saharan Africa,Africa,3218,14190612
Cabo Verde,54765,8601,15204,Sub-Saharan Africa,Africa,9661,598682
Senegal,1622980,254879,450564,Sub-Saharan Africa,Africa,4515,17763163
Mozambique,3118416,474931,839561,Sub-Saharan Africa,Africa,1556,33897354
Guinea-Bissau,197266,30043,53109,Sub-Saharan Africa,Africa,3072,2150842
Togo,830017,126411,223463,Sub-Saharan Africa,Africa,2754,9053799
Lesotho,211661,33240,58760,Sub-Saharan Africa,Africa,3251,2330318
Malawi,1913062,291357,515048,Sub-Saharan Africa,Africa,1682,20931751
Madagascar,2769594,421806,745649,Sub-Saharan Africa,Africa,1916,30325732
Sierra Leone,802371,122200,216020,Sub-Saharan Africa,Africa,2082,8791092
Kuwait,397706,53898,107577,Western Asia,Asia,53037,4310108
Bosnia and Herzegovina,273269,51628,91266,Southern Europe,Europe,19604,3210847
Namibia,229344,39015,68968,Sub-Saharan Africa,Africa,11440,2604172
Morocco,3319524,570427,1008375,Northern Africa,Africa,10460,37840044
Tajikistan,906209,145783,257708,Central Asia,Asia,5293,10143543
Cameroon,2577064,404713,715433,Sub-Saharan Africa,Africa,4665,28647293
Mauritius,118626,16267,32467,Sub-Saharan Africa,Africa,29164,1300557
Denmark,469449,172003,119134,Northern Europe,Europe,73386,5910913
Myanmar,4666125,845282,1494251,South-eastern Asia,Asia,5132,54577997
